model_id,return_decile,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
stock_node_gwnet_fixed_industry_l8,D3,450,0.0006428156739941589,0.02476434375702713,0.02535380985166054,0.8495756028660089,0.84,0.0,0.0,0.0,0.0
stock_node_gwnet_fixed_industry_l8,D4,450,0.0002501124298934904,0.01508099724098831,0.01581494324660985,0.7857198626276488,0.8222222222222222,0.0,0.0,0.0,0.0
stock_node_gwnet_fixed_industry_l8,D5,450,6.531099788578144e-05,0.007119310189348944,0.008081522003050009,0.654046654694966,0.8577777777777778,0.0,0.0,0.0,0.0
stock_node_gwnet_fixed_industry_l8,D6,450,2.144185236766528e-05,0.0035485801211971846,0.00463053478203817,802.6927414864449,0.6222222222222222,0.5058823529411764,0.25146198830409355,0.3359375,0.12515270466316641
stock_node_gwnet_fixed_industry_l8,D7,450,0.00011877711421410445,0.009463243241318331,0.010898491373309631,1.8395215919670618,0.25333333333333335,1.0,0.25333333333333335,0.4042553191489362,0.0
stock_node_gwnet_fixed_industry_l8,D8,450,0.00037041156490899156,0.01848207420203827,0.019246079208737336,1.2217209975908612,0.22,1.0,0.22,0.36065573770491804,0.0
stock_node_gwnet_fixed_industry_l8,D9,450,0.0012852575522973304,0.03495244848412557,0.03585048887110649,1.147904864712803,0.14222222222222222,1.0,0.14222222222222222,0.2490272373540856,0.0
stock_node_gwnet_fixed_industry_l8,D10,450,0.009980687108965776,0.0906935366481128,0.09990338887628275,1.091057491512966,0.10888888888888888,1.0,0.10888888888888888,0.1963927855711423,0.0
stock_node_gwnet_noise_aug_l8,D1,450,0.007058460353708164,0.07370634369629746,0.08401464368613465,0.8958627635090246,0.8977777777777778,0.0,0.0,0.0,0.0
stock_node_gwnet_noise_aug_l8,D2,450,0.0015059155078036798,0.03799104115615288,0.03880612719408727,0.8659869247487887,0.8933333333333333,0.0,0.0,0.0,0.0
stock_node_gwnet_noise_aug_l8,D3,450,0.0006362419914352904,0.024593433694810492,0.025223837761833356,0.843631594836923,0.84,0.0,0.0,0.0,0.0
stock_node_gwnet_noise_aug_l8,D4,450,0.00024876739164373876,0.015010539894250921,0.01577236163812315,0.7821333703860461,0.8155555555555556,0.0,0.0,0.0,0.0
stock_node_gwnet_noise_aug_l8,D5,450,6.467074832977581e-05,0.007034560469651791,0.008041812502774222,0.6463916646058024,0.8577777777777778,0.0,0.0,0.0,0.0
stock_node_gwnet_noise_aug_l8,D6,450,2.2893200402539418e-05,0.003682956757386075,0.004784683939670354,860.0410584605687,0.6266666666666667,0.5172413793103449,0.2631578947368421,0.34883720930232553,0.13842156175675463
stock_node_gwnet_noise_aug_l8,D7,450,0.00012142605631738744,0.009553286150459956,0.011019349178485426,1.8581736224070513,0.25333333333333335,1.0,0.25333333333333335,0.4042553191489362,0.0
stock_node_gwnet_noise_aug_l8,D8,450,0.00037591339764203146,0.018608136398510722,0.01938848621326666,1.2299974262470854,0.22,1.0,0.22,0.36065573770491804,0.0
stock_node_gwnet_noise_aug_l8,D9,450,0.001296253069375128,0.035100929600497,0.036003514680863144,1.1531780663579765,0.14,1.0,0.14,0.24561403508771928,0.0
