model_id,industry_group,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
stock_node_gwnet_fixed_industry_l8,可选消费,405,0.002884135517250514,0.03777110992864713,0.053704148045104615,120.743660619998,0.5358024691358024,0.65625,0.10606060606060606,0.18260869565217394,0.0980646266176167
stock_node_gwnet_fixed_industry_l8,工业,405,0.0013805072819936016,0.026869906491260757,0.037155178400777485,64.65621988463387,0.5654320987654321,0.55,0.12222222222222222,0.19999999999999998,0.07032215496877249
stock_node_gwnet_fixed_industry_l8,房地产,360,0.0018259704486970321,0.03206353174270282,0.042731375459924434,47.901045759135805,0.5805555555555556,0.6,0.2545454545454545,0.35744680851063826,0.13968858540414544
stock_node_gwnet_fixed_industry_l8,日常消费,360,0.002407697816216474,0.033488989143127854,0.049068297466046996,232.43867209875717,0.5944444444444444,0.3333333333333333,0.08148148148148149,0.13095238095238096,-0.02734111423027674
stock_node_gwnet_fixed_industry_l8,综合,225,0.0007283474277056951,0.02080016414427919,0.02698791262224063,62.98126486516467,0.6044444444444445,0.39705882352941174,0.36,0.37762237762237755,0.08896600147954356
stock_node_gwnet_fixed_industry_l8,能源,225,0.0017346664254300403,0.02667943747610678,0.04164932683045478,109.59944703334169,0.5466666666666666,0.5,0.27450980392156865,0.35443037974683544,0.053961910670214
stock_node_gwnet_fixed_industry_l8,金融,135,0.0024039089397169242,0.03594008399156366,0.0490296740731256,76.79219634245956,0.48148148148148145,0.5714285714285714,0.1111111111111111,0.18604651162790697,0.025974025974025976
stock_node_gwnet_noise_aug_l8,交通运输,360,0.001276181195321695,0.025687688343653727,0.03572367835654239,20.47992965446874,0.6388888888888888,0.48148148148148145,0.10077519379844961,0.16666666666666666,0.07312894472877947
stock_node_gwnet_noise_aug_l8,信息技术,405,0.00372100688592668,0.04273431660912145,0.061000056441995854,60.17150737806417,0.4888888888888889,0.5,0.09178743961352658,0.15510204081632656,-0.007152428287050195
stock_node_gwnet_noise_aug_l8,公用事业,405,0.0009212008266162485,0.023420978743398962,0.03035129036163452,108.49927669882456,0.6024691358024692,0.6597938144329897,0.3333333333333333,0.4429065743944636,0.2087291881194028
stock_node_gwnet_noise_aug_l8,其他,405,0.0024393712729766474,0.034541413826396486,0.049389991627622774,81.87341979011299,0.528395061728395,0.4152542372881356,0.28654970760233917,0.3391003460207613,-0.009045994046504661
stock_node_gwnet_noise_aug_l8,医疗健康,405,0.0036315542535132164,0.037363561516610376,0.06026237842562486,87.12372881350011,0.5580246913580247,0.5054945054945055,0.25555555555555554,0.3394833948339483,0.06614080650728649
stock_node_gwnet_noise_aug_l8,原材料,405,0.0016842124414863878,0.02916121021312669,0.04103915741686698,14.583358692954272,0.5950617283950618,0.5135135135135135,0.11515151515151516,0.18811881188118812,0.06847385202757691
stock_node_gwnet_noise_aug_l8,可选消费,405,0.002885260531404979,0.037730673825753416,0.05371462120693936,124.65259405663264,0.5333333333333333,0.6363636363636364,0.10606060606060606,0.18181818181818182,0.08786995753923511
stock_node_gwnet_noise_aug_l8,工业,405,0.0013796395267421382,0.02684882576361777,0.03714349911817865,71.37278942695755,0.5654320987654321,0.55,0.12222222222222222,0.19999999999999998,0.07032215496877249
stock_node_gwnet_noise_aug_l8,房地产,360,0.0018282639260394174,0.03212888201750397,0.042758203026313175,53.049170322716314,0.5888888888888889,0.6164383561643836,0.2727272727272727,0.37815126050420167,0.1600329356056617
stock_node_gwnet_noise_aug_l8,日常消费,360,0.0024105075650123027,0.03345122966404431,0.04909692011737908,248.90074338740686,0.5944444444444444,0.3333333333333333,0.08148148148148149,0.13095238095238096,-0.02734111423027674
stock_node_gwnet_noise_aug_l8,综合,225,0.0007227622587257924,0.020741789353907896,0.02688423810945351,61.13186442121196,0.6044444444444445,0.39705882352941174,0.36,0.37762237762237755,0.08896600147954356
stock_node_gwnet_noise_aug_l8,能源,225,0.0017390154936142554,0.026773889128429148,0.04170150469244791,127.7908046042632,0.5333333333333333,0.47058823529411764,0.23529411764705882,0.3137254901960785,0.018765184400656342
stock_node_gwnet_noise_aug_l8,金融,135,0.0024104718947857077,0.03601063709119674,0.04909655685265218,78.51984776508388,0.4740740740740741,0.5263157894736842,0.1388888888888889,0.21978021978021975,-0.005692855849765747
stock_node_gwnet_tail_weighted_l8,交通运输,360,0.0012882065644767458,0.026048471666419746,0.03589159462153703,20.48523508251177,0.6333333333333333,0.4838709677419355,0.3488372093023256,0.4054054054054055,0.15451172458943582
stock_node_gwnet_tail_weighted_l8,信息技术,405,0.003722429892503047,0.042698537560616714,0.06101171930459792,22.519530784546678,0.4888888888888889,0.5,0.18840579710144928,0.2736842105263158,-0.010855958412285862
stock_node_gwnet_tail_weighted_l8,公用事业,405,0.0009193921278542101,0.023435438690810533,0.030321479644869084,100.5039850595165,0.6320987654320988,0.6102564102564103,0.6197916666666666,0.6149870801033592,0.26281070158218406
stock_node_gwnet_tail_weighted_l8,其他,405,0.002478282957636516,0.03507882794077838,0.049782355886764905,180.98320219086875,0.4962962962962963,0.41450777202072536,0.4678362573099415,0.43956043956043955,-0.014902692599347608
stock_node_gwnet_tail_weighted_l8,医疗健康,405,0.0036572544164414538,0.0376089126272644,0.060475238043694,43.59260299865337,0.5407407407407407,0.4791666666666667,0.38333333333333336,0.42592592592592593,0.05190342490858749
stock_node_gwnet_tail_weighted_l8,原材料,405,0.0016950912762697214,0.029270756902190366,0.04117148620428611,13.968124183749417,0.5802469135802469,0.47191011235955055,0.2545454545454545,0.3307086614173228,0.06966855768434785
stock_node_gwnet_tail_weighted_l8,可选消费,405,0.0028850914809352606,0.037906150581217386,0.0537130475856217,88.48544134228256,0.5407407407407407,0.5638297872340425,0.2676767676767677,0.363013698630137,0.08242138014108139
stock_node_gwnet_tail_weighted_l8,工业,405,0.0013778786040798932,0.0269443576656753,0.03711978723106981,35.20157643736981,0.5851851851851851,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.13483997249264842
stock_node_gwnet_tail_weighted_l8,房地产,360,0.0018426492913924673,0.03232677634934787,0.04292609103322206,57.08238904848478,0.6083333333333333,0.573170731707317,0.5696969696969697,0.5714285714285715,0.2108241977483847
stock_node_gwnet_tail_weighted_l8,日常消费,360,0.0024386033268708343,0.03386148963440464,0.049382216706733956,171.19378552588128,0.5694444444444444,0.3717948717948718,0.21481481481481482,0.2723004694835681,-0.0034818696671092566
stock_node_gwnet_tail_weighted_l8,综合,225,0.0007678856099086461,0.02158800228395391,0.027710748995807496,131.51252073246462,0.5244444444444445,0.3769230769230769,0.6533333333333333,0.47804878048780486,0.10816840970588222
stock_node_gwnet_tail_weighted_l8,能源,225,0.0017610509179995025,0.02688596698041587,0.041964877195096166,117.6742378386575,0.5822222222222222,0.5408163265306123,0.5196078431372549,0.53,0.15437063396820153
stock_node_gwnet_tail_weighted_l8,金融,135,0.002391197309177153,0.036096681327628,0.04889987023681303,73.72561677256438,0.5333333333333333,0.6285714285714286,0.3055555555555556,0.4112149532710281,0.1129384878631564
